,company,industry,sum,std
325,Fivetran,Data,0.0,
326,Flash Coffee,Food,57.0,
327,Flipboard,Media,235.0,
328,Flowhub,Retail,45.0,
329,Fluke,Other,0.0,
330,Flux Systems,Finance,9.0,
331,Flyhomes,Real Estate,620.0,0.0
332,Food52,Food,352.0,0.0
333,Foodpanda,Food,1498.0,0.0
334,Foresight Insurance,Finance,58.0,
335,Forma.ai,Sales,58.0,
336,Forto,Logistics,593.0,
337,Forward,Healthcare,225.0,
338,FourKites,Logistics,201.0,
339,Foxtrot,Food,166.0,
340,Fraazo,Food,63.0,
341,Freetrade,Finance,133.0,
342,FreshBooks,Finance,331.0,
343,FreshDirect,Food,280.0,
344,Freshly,Food,214.0,0.0
345,Freshworks,Support,484.0,
346,Front,Support,203.0,
347,FrontRow,Education,34.0,0.0
348,Frubana,Food,202.0,
349,FuboTV,Media,151.0,
350,FullStory,Marketing,197.0,
351,Fundbox,Finance,553.0,
352,Fungible,Crypto,310.0,
353,Furlenco,Retail,228.0,
354,FutureLearn,Education,50.0,
355,GSR,Crypto,0.0,
356,Gather,Consumer,76.0,
357,Gatherly,Marketing,0.0,
358,Gavelytics,Legal,5.0,
359,Gem,Recruiting,148.0,
360,Gemini,Crypto,846.0,0.0
361,Genesis,Crypto,0.0,
362,Genome Medical,Healthcare,120.0,
363,Getir,Food,1800.0,
364,Getta,Transportation,49.0,
365,Give Legacy,Healthcare,45.0,
366,Glints,HR,82.0,
367,GloriFi,Finance,0.0,
368,Glossier,Consumer,266.0,
369,Glossier,Retail,266.0,
370,GoFundMe,Finance,0.0,
371,GoHealth,Healthcare,75.0,
372,GoNuts,Media,0.0,
373,GoStudent,Education,1372.0,0.0
374,GoTo Group,Transportation,1300.0,
375,Gokada,Transportation,12.0,
376,GoodGood,Retail,6.0,
377,GoodRx,Healthcare,910.0,
378,Goodfood,Food,16.0,
379,Gopuff,Food,13600.0,0.0
380,Gorillas,Food,2600.0,0.0
381,Gousto,Food,675.0,
382,Graphcore,Data,692.0,
383,Grin,Marketing,145.0,
384,Groupon,Retail,1400.0,
385,Grove Collaborative,Retail,474.0,
386,Grover,Retail,2300.0,
387,Guidewire,Finance,24.0,
388,Halcyon Health,Healthcare,2.0,
389,Happy Money,Finance,191.0,
390,Hash,Finance,58.0,
391,Haus,Food,7.0,
392,Headspace,Healthcare,215.0,
393,Health IQ,Healthcare,136.0,
394,HealthMatch,Healthcare,20.0,
395,Healthcare.com,Healthcare,244.0,
396,HealthifyMe,Fitness,100.0,
397,Hedvig,Finance,67.0,
398,HelloFresh,Food,367.0,
399,Help Scout,Support,28.0,
400,Heroes,Retail,265.0,
401,HighRadius,Finance,475.0,
402,Hippo Insurance,Finance,1300.0,
403,Hirect,Recruiting,0.0,
404,Hodlnaut,Crypto,0.0,
405,Hologram,Infrastructure,82.0,
406,HomeLight,Real Estate,743.0,
407,Homebot,Real Estate,4.0,
408,Homebound,Real Estate,128.0,
409,Homepoint,Real Estate,0.0,
410,Homeward,Real Estate,661.0,241.1234123846127
411,Homie,Real Estate,70.0,0.0
412,Hootsuite,Marketing,600.0,0.0
413,Hopin,Other,3000.0,0.0
414,Hotmart,Marketing,127.0,
415,Houzz,Consumer,613.0,
416,Huawei,Hardware,0.0,
417,Hubilo,Marketing,153.0,
418,Humble,Media,4.0,
419,Hunty,HR,6.0,
420,Huobi,Crypto,2.0,
421,Hydrow,Fitness,269.0,
422,Hyperscience,Data,289.0,
423,ID.me,Security,275.0,
424,IRL,Consumer,197.0,
425,Ideoclick,Retail,7.0,
426,Ignite,Crypto,9.0,
427,Illumina,Healthcare,28.0,
428,Immersive Labs,Security,123.0,
429,Immutable,Crypto,279.0,
430,Impact.com,Marketing,361.0,
431,Impala,Travel,32.0,
432,Imperfect Foods,Food,229.0,
433,Impossible Foods,Food,1900.0,
434,Improbable,Other,704.0,
435,InDebted,Finance,41.0,
436,InVision,Product,356.0,
437,Infarm,Other,1208.0,0.0
438,InfluxData,Data,119.0,
439,InfoSum,Security,88.0,
440,Infogrid,Other,15.0,
441,Innovaccer,Healthcare,379.0,
442,Inscripta,Healthcare,459.0,
443,Inspectify,Real Estate,11.0,
444,Instacart,Food,2900.0,
445,Integral Ad Science,Marketing,116.0,
446,Intel,Hardware,12.0,
447,Intercom,Support,480.0,0.0
448,Introhive,Sales,125.0,
449,Invitae,Healthcare,2000.0,
450,Involves,Retail,23.0,
451,Iron Ox,Food,103.0,
452,IronNet,Security,820.0,0.0
453,JD.ID,Retail,5100.0,
454,JOKR,Food,430.0,
455,Jam City,Consumer,652.0,
456,Jellysmack,Media,22.0,
457,JetClosing,Real Estate,44.0,
458,Jimdo,Other,28.0,
459,Jumia,Retail,1200.0,
460,Juni,Finance,281.0,
461,Juniper,Marketing,0.0,
462,Juniper Square,Real Estate,108.0,
463,Just Eat Takeaway,Food,2800.0,
464,Juul,Consumer,1500.0,
465,Kabam,Consumer,244.0,
466,Kaltura,Media,166.0,
467,Kandji,Other,188.0,
468,Kaodim,Consumer,17.0,
469,Karbon,Other,91.0,
470,Kavak,Transportation,3200.0,0.0
471,Keepe,Real Estate,6.0,
472,Khoros,Sales,138.0,
473,Kiavi,Real Estate,240.0,
474,Kite,Product,21.0,
475,Kitopi,Food,804.0,
476,Kitty Hawk,Aerospace,1.0,
477,KiwiCo,Retail,11.0,
478,Klarna,Finance,7400.0,0.0
479,Knock,Real Estate,654.0,
480,Kogan,Retail,0.0,
481,Koho,Finance,278.0,
482,KoinWorks,Finance,180.0,
483,Koinly,Crypto,0.0,
484,Komodo Health,Healthcare,514.0,
485,Konfio,Finance,706.0,
486,Kontist,Finance,53.0,
487,Koo,Consumer,44.0,
488,Kraken,Crypto,134.0,
489,Kry,Healthcare,1136.0,0.0
490,Kuda,Finance,91.0,
491,Kune,Food,1.0,
492,LEAD,Education,166.0,
493,Labelbox,Data,188.0,
494,Lacework,Security,1900.0,
495,Landing,Real Estate,694.0,0.0
496,Latch,Security,1026.0,0.0
497,Lattice,HR,328.0,
498,Lawgeex,Legal,41.0,
499,Laybuy,Finance,130.0,
500,Lazerpay,Crypto,0.0,
501,LeafLink,Other,379.0,
502,Leafly,Retail,71.0,
503,Ledn,Crypto,103.0,
504,Legible,Media,3.0,
505,Lemon,Crypto,17.0,
506,Lemonade,Finance,481.0,
507,LendingTree,Finance,0.0,
508,Lendis,Other,180.0,0.0
509,Lenovo,Hardware,850.0,
510,LetsGetChecked,Healthcare,263.0,
511,Lev,Real Estate,114.0,
512,Lido,Education,24.0,
513,Lido Learning,Education,20.0,
514,Liftoff,Marketing,6.0,
515,Lightico,Finance,42.0,
516,Lightricks,Consumer,335.0,
517,Linkfire,Marketing,2.0,
518,Linktree,Consumer,165.0,
519,Liongard,Infrastructure,22.0,
520,Lithic,Finance,115.0,
521,Liv Up,Food,118.0,
522,LivePerson,Support,42.0,
523,LiveRamp,Marketing,16.0,
524,Loft,Real Estate,2364.0,0.0
525,Loggi,Logistics,507.0,
526,Loja Integrada,Retail,0.0,
527,Lokalise,Other,56.0,
528,Loom,Product,406.0,0.0
529,Loop,Finance,24.0,
530,Lora DiCarlo,Consumer,9.0,
531,Lummo,Marketing,149.0,
532,Lunchbox,Food,72.0,
533,Lusha,Marketing,245.0,
534,Lyft,Transportation,9800.0,0.0
535,Lyst,Retail,144.0,
536,M1,Finance,323.0,
537,MFine,Healthcare,97.0,
538,MX,Finance,450.0,
539,Made.com,Retail,136.0,
540,MadeiraMadeira,Retail,338.0,
541,Mainstreet,Finance,64.0,
542,Malwarebytes,Security,80.0,
543,Mara,Crypto,23.0,
544,Mark43,Other,229.0,
545,Marketforce,Retail,42.0,
546,MasterClass,Education,461.0,
547,McMakler,Real Estate,428.0,0.0
548,Medium,Media,163.0,
549,Medly,Healthcare,200.0,0.0
550,Meero,Other,293.0,
551,Meesho,Retail,2200.0,0.0
552,Mejuri,Retail,28.0,
553,Melio,Finance,504.0,
554,Memmo,Consumer,24.0,
555,Menulog,Food,0.0,
556,MessageBird,Other,1100.0,
557,Meta,Consumer,26000.0,
558,Metaplex,Crypto,0.0,
559,Metigy,Marketing,18.0,
560,Metromile,Finance,510.0,
561,Microsoft,Other,2.0,0.0
562,MindBody,Fitness,114.0,
563,Mindgeek,Media,0.0,
564,MissFresh,Food,1700.0,
565,Mobile Premier League,Consumer,375.0,
566,Mode Analytics,Data,81.0,
567,Modern Treasury,Finance,183.0,
568,Modsy,Retail,72.0,
569,Momentive,Marketing,1100.0,
570,Moove,Transportation,630.0,
571,Morning Brew,Media,0.0,
572,Moss,Finance,150.0,
573,Motif Foodworks,Food,344.0,
574,Motional,Transportation,0.0,
575,Motive,Transportation,567.0,
576,Movidesk,Support,11.0,
577,Mr. Yum,Food,73.0,
578,Muni Tienda,Other,20.0,
579,Mural,Product,384.0,0.0
580,Mux,Infrastructure,173.0,
581,Mythical Games,Crypto,260.0,
582,N-able Technologies,Other,225.0,
583,NCX,Energy,78.0,
584,NSO,Security,1.0,
585,NYDIG,Crypto,1400.0,
586,Namogoo,Marketing,69.0,
587,NanoString,Healthcare,731.0,
588,Nate,Retail,94.0,0.0
589,Natera,Healthcare,809.0,
590,Nerdy,Education,150.0,
591,Nestcoin,Crypto,6.0,
592,Netflix,Media,487600.0,0.0
593,Netlify,Product,212.0,
594,New Relic,Infrastructure,214.0,
595,Nexar,Transportation,149.0,
596,Next Insurance,Finance,881.0,
597,NextRoll,Marketing,216.0,0.0
598,Nextbite,Food,150.0,
599,Nextiva,Other,200.0,
600,Niantic,Consumer,770.0,
601,Nirvana Money,Finance,0.0,
602,Nomad,Finance,290.0,
603,Noom,Healthcare,1314.0,0.0
604,Notarize,Legal,426.0,0.0
605,Nova Benefits,Healthcare,41.0,
606,Nuri,Crypto,42.0,
607,Nuri,Finance,42.0,
