,Company,Industry,sum,std
391,Hash,Finance,0.5,
392,Haus,Food,1.0,
393,Headspace,Healthcare,0.04,
394,Health IQ,Healthcare,0.0,
395,HealthMatch,Healthcare,0.5,
396,Healthcare.com,Healthcare,0.0,
397,HealthifyMe,Fitness,0.0,
398,Hedvig,Finance,0.0,
399,HelloFresh,Food,0.0,
400,Help Scout,Support,0.0,
401,Heroes,Retail,0.2,
402,HighRadius,Finance,0.0,
403,Hippo Insurance,Finance,0.1,
404,Hirect,Recruiting,0.4,
405,Hodlnaut,Crypto,0.8,
406,Hologram,Infrastructure,0.4,
407,HomeLight,Real Estate,0.19,
408,Homebot,Real Estate,0.13,
409,Homebound,Real Estate,0.0,
410,Homepoint,Real Estate,0.0,
411,Homeward,Real Estate,0.45,0.03535533905932737
412,Homie,Real Estate,0.42,0.11313708498984758
413,Hootsuite,Marketing,0.35,0.1767766952966369
414,Hopin,Other,0.5800000000000001,0.08736894948054104
415,Hotmart,Marketing,0.12,
416,Houzz,Consumer,0.08,
417,Huawei,Hardware,0.0,
418,Hubilo,Marketing,0.12,
419,Humble,Media,0.0,
420,Hunty,HR,0.0,
421,Huobi,Crypto,0.3,
422,Hydrow,Fitness,0.35,
423,Hyperscience,Data,0.25,
424,ID.me,Security,0.0,
425,IRL,Consumer,0.25,
426,Ideoclick,Retail,0.0,
427,Ignite,Crypto,0.5,
428,Illumina,Healthcare,0.05,
429,Immersive Labs,Security,0.1,
430,Immutable,Crypto,0.06,
431,Impact.com,Marketing,0.1,
432,Impala,Travel,0.35,
433,Imperfect Foods,Food,0.0,
434,Impossible Foods,Food,0.06,
435,Improbable,Other,0.1,
436,InDebted,Finance,0.17,
437,InVision,Product,0.5,
438,Infarm,Other,0.55,0.3181980515339464
439,InfluxData,Data,0.27,
440,InfoSum,Security,0.12,
441,Infogrid,Other,0.0,
442,Innovaccer,Healthcare,0.08,
443,Inscripta,Healthcare,0.0,
444,Inspectify,Real Estate,0.0,
445,Instacart,Food,0.0,
446,Integral Ad Science,Marketing,0.13,
447,Intel,Hardware,0.0,
448,Intercom,Support,0.18,0.0565685424949238
449,Introhive,Sales,0.16,
450,Invitae,Healthcare,0.0,
451,Involves,Retail,0.18,
452,Iron Ox,Food,0.5,
453,IronNet,Security,0.52,0.12727922061357855
454,JD.ID,Retail,0.3,
455,JOKR,Food,0.05,
456,Jam City,Consumer,0.17,
457,Jellysmack,Media,0.08,
458,JetClosing,Real Estate,1.0,
459,Jimdo,Other,0.16,
460,Jumia,Retail,0.2,
461,Juni,Finance,0.33,
462,Juniper,Marketing,0.0,
463,Juniper Square,Real Estate,0.14,
464,Just Eat Takeaway,Food,0.0,
465,Juul,Consumer,0.3,
466,Kabam,Consumer,0.07,
467,Kaltura,Media,0.1,
468,Kandji,Other,0.17,
469,Kaodim,Consumer,1.0,
470,Karbon,Other,0.23,
471,Kavak,Transportation,0.0,0.0
472,Keepe,Real Estate,0.0,
473,Khoros,Sales,0.1,
474,Kiavi,Real Estate,0.07,
475,Kite,Product,1.0,
476,Kitopi,Food,0.1,
477,Kitty Hawk,Aerospace,1.0,
478,KiwiCo,Retail,0.0,
479,Klarna,Finance,0.1,0.07071067811865477
480,Knock,Real Estate,0.46,
481,Kogan,Retail,0.0,
482,Koho,Finance,0.04,
483,KoinWorks,Finance,0.08,
484,Koinly,Crypto,0.14,
485,Komodo Health,Healthcare,0.09,
486,Konfio,Finance,0.0,
487,Kontist,Finance,0.25,
488,Koo,Consumer,0.0,
489,Kraken,Crypto,0.3,
490,Kry,Healthcare,0.2,0.0
491,Kuda,Finance,0.05,
492,Kune,Food,1.0,
493,LEAD,Education,0.04,
494,Labelbox,Data,0.0,
495,Lacework,Security,0.2,
496,Landing,Real Estate,0.0,0.0
497,Latch,Security,0.71,0.15947831618540914
498,Lattice,HR,0.0,
499,Lawgeex,Legal,0.33,
500,Laybuy,Finance,0.0,
501,Lazerpay,Crypto,0.0,
502,LeafLink,Other,0.31,
503,Leafly,Retail,0.21,
504,Ledn,Crypto,0.0,
505,Legible,Media,0.38,
506,Lemon,Crypto,0.38,
507,Lemonade,Finance,0.0,
508,LendingTree,Finance,0.0,
509,Lendis,Other,0.65,0.24748737341529164
510,Lenovo,Hardware,0.0,
511,LetsGetChecked,Healthcare,0.0,
512,Lev,Real Estate,0.3,
513,Lido,Education,0.0,
514,Lido Learning,Education,1.0,
515,Liftoff,Marketing,0.15,
516,Lightico,Finance,0.0,
517,Lightricks,Consumer,0.12,
518,Linkfire,Marketing,0.35,
519,Linktree,Consumer,0.17,
520,Liongard,Infrastructure,0.0,
521,Lithic,Finance,0.18,
522,Liv Up,Food,0.15,
523,LivePerson,Support,0.11,
524,LiveRamp,Marketing,0.1,
525,Loft,Real Estate,0.24,0.06928203230275508
526,Loggi,Logistics,0.15,
527,Loja Integrada,Retail,0.1,
528,Lokalise,Other,0.23,
529,Loom,Product,0.25,0.02121320343559644
530,Loop,Finance,0.2,
531,Lora DiCarlo,Consumer,1.0,
532,Lummo,Marketing,0.0,
533,Lunchbox,Food,0.33,
534,Lusha,Marketing,0.1,
535,Lyft,Transportation,0.15,0.07778174593052023
536,Lyst,Retail,0.25,
537,M1,Finance,0.0,
538,MFine,Healthcare,0.75,
539,MX,Finance,0.0,
540,Made.com,Retail,0.35,
541,MadeiraMadeira,Retail,0.03,
542,Mainstreet,Finance,0.3,
543,Malwarebytes,Security,0.14,
544,Mara,Crypto,0.0,
545,Mark43,Other,0.0,
546,Marketforce,Retail,0.09,
547,MasterClass,Education,0.2,
548,McMakler,Real Estate,0.0,0.0
549,Medium,Media,0.25,
550,Medly,Healthcare,0.66,0.24041630560342614
551,Meero,Other,0.5,
552,Meesho,Retail,0.0,0.0
553,Mejuri,Retail,0.1,
554,Melio,Finance,0.0,
555,Memmo,Consumer,0.4,
556,Menulog,Food,0.0,
557,MessageBird,Other,0.31,
558,Meta,Consumer,0.13,
559,Metaplex,Crypto,0.0,
560,Metigy,Marketing,1.0,
561,Metromile,Finance,0.2,
562,Microsoft,Other,0.0,0.0
563,MindBody,Fitness,0.15,
564,Mindgeek,Media,0.0,
565,MissFresh,Food,0.0,
566,Mobile Premier League,Consumer,0.1,
567,Mode Analytics,Data,0.0,
568,Modern Treasury,Finance,0.18,
569,Modsy,Retail,0.0,
570,Momentive,Marketing,0.11,
571,Moove,Transportation,0.0,
572,Morning Brew,Media,0.14,
573,Moss,Finance,0.15,
574,Motif Foodworks,Food,0.0,
575,Motional,Transportation,0.0,
576,Motive,Transportation,0.06,
577,Movidesk,Support,0.0,
578,Mr. Yum,Food,0.17,
579,Muni Tienda,Other,1.0,
580,Mural,Product,0.1,0.07071067811865477
581,Mux,Infrastructure,0.2,
582,Mythical Games,Crypto,0.1,
583,N-able Technologies,Other,0.0,
584,NCX,Energy,0.4,
585,NSO,Security,0.14,
586,NYDIG,Crypto,0.33,
587,Namogoo,Marketing,0.15,
588,NanoString,Healthcare,0.1,
589,Nate,Retail,0.2,0.14142135623730953
590,Natera,Healthcare,0.0,
591,Nerdy,Education,0.17,
592,Nestcoin,Crypto,0.0,
593,Netflix,Media,0.04,0.01414213562373095
594,Netlify,Product,0.16,
595,New Relic,Infrastructure,0.05,
596,Nexar,Transportation,0.0,
597,Next Insurance,Finance,0.17,
598,NextRoll,Marketing,0.1,0.02828427124746191
599,Nextbite,Food,0.0,
600,Nextiva,Other,0.17,
601,Niantic,Consumer,0.08,
602,Nirvana Money,Finance,1.0,
603,Nomad,Finance,0.2,
604,Noom,Healthcare,0.1,0.07071067811865477
605,Notarize,Legal,0.25,0.1767766952966369
606,Nova Benefits,Healthcare,0.3,
607,Nuri,Crypto,1.0,
608,Nuri,Finance,0.2,
609,Nuro,Transportation,0.2,0.14142135623730953
610,Nutanix,Infrastructure,0.04,
611,Nylas,Product,0.25,
612,Nyriad,Infrastructure,0.33,
613,OKCredit,Finance,0.0,
614,OYO,Travel,0.0,
615,Oatly,Food,0.0,
616,Ocavu,Crypto,0.48,
617,Octopus Network,Crypto,0.4,
618,Oda,Food,0.42,0.06928203230275508
619,OfferUp,Retail,0.19,
620,Offerpad,Real Estate,0.07,
621,Okta,Security,0.0,
622,Ola,Transportation,0.0,0.0
623,Olist,Retail,0.0,
624,Olive,Healthcare,0.31,
625,On Deck,Education,0.5800000000000001,0.05656854249492383
626,OneFootball,Marketing,0.115,
627,OneStudyTeam,Healthcare,0.25,
628,OneTrust,Security,0.25,
629,OnlyFans,Media,0.0,
630,OpenSea,Crypto,0.2,
631,OpenWeb,Media,0.05,
632,Opendoor,Real Estate,0.18,
633,OrCam,Healthcare,0.16,
634,Oracle,Other,0.0,0.0
635,Orbit,Other,0.0,
636,Orchard,Real Estate,0.1,0.07071067811865477
637,Otonomo,Transportation,0.5,0.3535533905932738
638,Ouster,Transportation,0.1,
639,Outbrain,Marketing,0.03,
640,Outreach,Sales,0.05,
641,Outschool,Education,0.43,0.04949747468305833
642,Outside,Media,0.27,0.021213203435596416
643,Owlet,Healthcare,0.0,
644,OwnBackup,Security,0.17,
645,Oye Rickshaw,Transportation,0.2,
646,PACT Pharma,Healthcare,0.0,
647,Pacaso,Real Estate,0.3,
648,Packable,Retail,0.2,
649,Papa,Other,0.15,
650,Parallel Wireless,Infrastructure,0.0,
651,Pastel,Food,1.0,
652,Patreon,Media,0.17,0.1202081528017131
653,Pavilion Data,Infrastructure,0.96,
654,PayPal,Finance,0.0,
655,PayU,Finance,0.06,
656,Pear Therapeutics,Healthcare,0.44,0.0
657,Pear Therapeutics ,Healthcare,0.09,
658,PeerStreet,Finance,0.0,
659,Peloton,Fitness,0.45,0.04358898943540675
660,Pendo,Product,0.05,
661,People.ai,Sales,0.0,
662,Perceptive Automata,Transportation,1.0,
663,Perimeter 81,Security,0.08,
664,Perion,Marketing,0.05,
665,Permutive,Marketing,0.12,
666,Perx Health,Healthcare,0.0,
667,Pesto,Other,1.0,
668,Petal,Finance,0.1,
669,PharmEasy,Healthcare,0.0,0.0
670,Philips,Healthcare,0.05,
671,Picsart,Consumer,0.08,
672,Pinterest,Consumer,0.0,
673,Pipedrive,Sales,0.15,
674,Pipl,Security,0.13,
675,Pitch,Marketing,0.3,
676,Pix,Food,0.0,
677,Plaid,Finance,0.2,
678,Planetly,Other,1.0,
679,Plato,HR,0.5,
680,Playdots,Consumer,1.0,
681,Playtika,Consumer,0.21,0.06363961030678927
682,Pleo,Finance,0.15,
683,Plerk,Finance,0.4,
684,Pliops,Data,0.09,
685,Plum,Healthcare,0.1,
686,Pluralsight,Education,0.2,
687,Podium,Support,0.12,
688,PolicyGenius,Finance,0.25,
689,Pollen,Marketing,1.0,
690,Pollen,Travel,0.33,
691,Polly,Finance,0.15,
692,Pomelo Fashion,Retail,0.08,
693,Postscript,Marketing,0.0,
694,Practically,Education,0.0,
695,Preply,Education,0.05,
696,Primer,Finance,0.33,
697,Productboard,Product,0.2,
698,Progrexion,Finance,0.0,
699,Project44,Logistics,0.05,
700,Properly,Real Estate,0.0,
701,Propzy,Real Estate,1.5,0.3535533905932738
702,Protocol,Media,1.0,
703,Proton.ai,Sales,0.0,
704,Protonn,Other,1.0,
705,Provi,Food,0.0,
706,PuduTech,Other,0.0,
707,Puppet,Infrastructure,0.15,
708,Q4,Other,0.08,
709,Qin1,Education,1.0,
710,Qualcomm,Hardware,0.0,
711,Quanergy Systems,Transportation,0.0,
712,Quantcast,Marketing,0.06,
713,Quanterix,Healthcare,0.25,
714,Quanto,Finance,0.22,
715,Quicko,Transportation,0.0,
716,Quidax,Crypto,0.2,
717,QuintoAndar,Real Estate,0.04,
718,Qumulo,Data,0.19,
719,Rad Power Bikes,Transportation,0.24000000000000002,0.02828427124746191
720,Rain,Finance,0.0,
721,Rapyd,Finance,0.0,
722,Rasa,Data,0.4,
723,Reach,Retail,0.12,
724,RealSelf,Healthcare,0.05,
725,Reali,Real Estate,1.0,
726,Realtor.com,Real Estate,0.0,
727,Recharge,Finance,0.17,
728,Recur Forever,Crypto,0.0,
729,Redesign Health,Healthcare,0.2,
730,Redfin,Real Estate,0.21000000000000002,0.03535533905932738
731,Reef,Transportation,0.05,
732,Reforge,Education,0.0,
733,Relativity,Legal,0.1,
734,Remesh,Support,0.0,
735,Remote,HR,0.09,
736,RenoRun,Construction,0.55,0.21920310216782976
737,Rent the Runway,Retail,0.24,
738,Repertoire Immune Medicines,Healthcare,0.5,
739,Replicated,Infrastructure,0.0,
740,ResearchGate,Other,0.1,
741,Rev.com,Data,0.0,
742,Revelate,Data,0.3,
743,Reynen Court,Legal,0.0,
744,Rhino,Real Estate,0.2,
745,Ribbon,Real Estate,0.85,0.6010407640085653
746,RingCentral,Other,0.1,
747,RingCentral,Support,0.0,
748,Ritual,Food,0.16,
749,Rivian,Transportation,0.06,
750,Ro,Healthcare,0.18,
751,Robinhood,Finance,0.32,0.09899494936611666
752,Roku,Media,0.07,
753,Roofstock,Real Estate,0.2,
754,Root Insurance,Finance,0.2,0.14142135623730953
755,Route,Retail,0.0,
756,Rows,Other,0.3,
757,Ruangguru,Education,0.0,
758,Rubicon Technologies,Other,0.11,
759,Rubius,Healthcare,1.57,0.049497474683058366
760,Rupeek,Finance,0.15,0.10606601717798213
761,SADA,Other,0.11,
762,SEND,Food,1.0,
763,SIRCLO,Retail,0.08,
764,SQZ Biotech,Healthcare,0.6,
765,SQream,Data,0.18,
766,SWVL,Transportation,0.8200000000000001,0.12727922061357858
767,SafeGraph,Data,0.25,
768,Sales Boomerang,Sales,0.0,
769,Salesforce,Sales,0.01,0.007071067811865475
770,Salsify,Retail,0.11,
771,Sama,Data,0.0,
772,Sami,Healthcare,0.15,
773,Sana,Healthcare,0.15,
774,Sanar,Healthcare,0.2,
775,Sayurbox,Food,0.05,
776,Science 37 ,Healthcare,0.0,
